# language=id	duration=101.760
WORD	34.480	34.980	melihat
WORD	34.980	35.460	seseorang
WORD	35.460	35.920	berjalan
WORD	35.920	36.140	di
WORD	36.140	36.440	atas
WORD	36.440	36.760	air
SEG	36.760	41.800	Lihat ada seseorang disana seru mereka
WORD	36.760	38.320	Lihat
WORD	38.320	39.540	ada
WORD	39.540	40.060	seseorang
WORD	40.060	40.620	disana
WORD	40.620	41.460	seru
WORD	41.460	41.800	mereka
SEG	41.800	45.360	Mereka semakin takut karena tidak tahu siapa yang datang
WORD	41.800	42.520	Mereka
WORD	42.520	42.860	semakin
WORD	42.860	43.380	takut
WORD	43.380	43.680	karena
WORD	43.680	43.960	tidak
WORD	43.960	44.200	tahu
WORD	44.200	44.580	siapa
WORD	44.580	44.740	yang
WORD	44.740	45.360	datang
SEG	45.360	49.940	Namun kemudian mereka mendengar suara yang mereka kenal
WORD	45.360	46.620	Namun
WORD	46.620	47.180	kemudian
WORD	47.180	47.860	mereka
WORD	47.860	48.580	mendengar
WORD	48.580	48.940	suara
WORD	48.940	49.100	yang
WORD	49.100	49.360	mereka
WORD	49.360	49.940	kenal
SEG	49.940	53.180	Tenanglah ini aku kata Yesus
WORD	49.940	51.260	Tenanglah
WORD	51.260	51.780	ini
WORD	51.780	52.240	aku
WORD	52.240	52.620	kata
WORD	52.620	53.180	Yesus
SEG	53.180	61.020	Jangan takut. Petrus berkata, Tuhan, kalau itu benar engkau, suruhlah aku datang kepadamu.
WORD	53.180	53.920	Jangan
WORD	53.920	54.460	takut.
WORD	55.340	55.860	Petrus
WORD	55.860	56.560	berkata,
WORD	57.040	57.380	Tuhan,
WORD	57.900	58.120	kalau
WORD	58.120	58.360	itu
WORD	58.360	58.660	benar
WORD	58.660	59.180	engkau,
WORD	59.460	59.860	suruhlah
WORD	59.860	60.060	aku
WORD	60.060	60.360	datang
WORD	60.360	61.020	kepadamu.
SEG	61.620	67.840	Yesus menjawab, datanglah. Petrus turun dari perahu dan mulai berjalan di atas air.
WORD	61.620	62.040	Yesus
WORD	62.040	62.700	menjawab,
WORD	63.040	63.660	datanglah.
WORD	64.660	65.040	Petrus
WORD	65.040	65.340	turun
WORD	65.340	65.520	dari
WORD	65.520	65.980	perahu
WORD	65.980	66.320	dan
WORD	66.320	66.640	mulai
WORD	66.640	67.060	berjalan
WORD	67.060	67.280	di
WORD	67.280	67.500	atas
WORD	67.500	67.840	air.
SEG	69.020	72.500	Selama ia melihat kepada Yesus, ia terus melangkah.
WORD	69.020	69.600	Selama
WORD	69.600	69.860	ia
WORD	69.860	70.200	melihat
WORD	70.200	70.540	kepada
WORD	70.540	71.100	Yesus,
WORD	71.640	71.720	ia
WORD	71.720	71.920	terus
WORD	71.920	72.500	melangkah.
SEG	73.340	77.100	Tetapi Petrus melihat angin dan ombak yang besar.
WORD	73.340	73.940	Tetapi
WORD	73.940	75.080	Petrus
WORD	75.080	75.560	melihat
WORD	75.560	75.880	angin
WORD	75.880	76.280	dan
WORD	76.280	76.620	ombak
WORD	76.620	76.780	yang
WORD	76.780	77.100	besar.
SEG	77.100	80.480	Ia menjadi takut dan mulai tenggelam.
WORD	77.100	78.060	Ia
WORD	78.060	78.380	menjadi
WORD	78.380	78.840	takut
WORD	78.840	79.580	dan
WORD	79.580	79.940	mulai
WORD	79.940	80.480	tenggelam.
SEG	80.760	83.600	Tuhan tolong aku, teriak Petrus.
WORD	80.760	81.080	Tuhan
WORD	81.080	81.680	tolong
WORD	81.680	82.040	aku,
WORD	82.720	83.120	teriak
WORD	83.120	83.600	Petrus.
SEG	84.560	87.420	Yesus segera mengulurkan tangan dan memegangnya.
WORD	84.560	84.920	Yesus
WORD	84.920	85.420	segera
WORD	85.420	86.100	mengulurkan
WORD	86.100	86.600	tangan
WORD	86.600	86.740	dan
WORD	86.740	87.420	memegangnya.
SEG	88.140	92.000	Saat Yesus dan Petrus naik ke perahu, angin pun berhenti.
WORD	88.140	88.520	Saat
WORD	88.520	89.160	Yesus
WORD	89.160	89.440	dan
WORD	89.440	89.920	Petrus
WORD	89.920	90.180	naik
WORD	90.180	90.300	ke
WORD	90.300	90.760	perahu,
WORD	91.220	91.360	angin
WORD	91.360	91.540	pun
WORD	91.540	92.000	berhenti.
SEG	93.000	96.420	Pesan hari ini ya, ketika kita merasa takut,
WORD	93.000	93.440	Pesan
WORD	93.440	93.680	hari
WORD	93.680	93.960	ini
WORD	93.960	94.140	ya,
WORD	94.940	95.260	ketika
WORD	95.260	95.460	kita
WORD	95.460	95.820	merasa
WORD	95.820	96.420	takut,
SEG	96.880	100.900	kita dapat selalu percaya bahwa Yesus ada untuk menolong kita.
WORD	96.880	97.060	kita
WORD	97.060	97.360	dapat
WORD	97.360	97.720	selalu
WORD	97.720	98.240	percaya
WORD	98.240	99.200	bahwa
WORD	99.200	99.720	Yesus
WORD	99.720	99.960	ada
WORD	99.960	100.180	untuk
WORD	100.180	100.600	menolong
WORD	100.600	100.900	kita.
